N,seq_time,par_time
1000,0.000278,0.001678
101000,0.025293,0.028198
201000,0.055328,0.058385
301000,0.092299,0.098093
401000,0.133344,0.132219
501000,0.171204,0.163994
601000,0.209125,0.197229
701000,0.242274,0.251044
801000,0.285125,0.271136
901000,0.332160,0.305844
1001000,0.347259,0.394467
1101000,0.480947,0.440557
1201000,0.527320,0.437721
1301000,0.446075,0.469071
1401000,0.515478,0.436285
1501000,0.524197,0.468181
1601000,0.521664,0.490741
1701000,0.549413,0.550071
1801000,0.731894,0.778137
1901000,0.821788,0.815614
2001000,0.710408,0.728659
2101000,0.862667,0.963047
2201000,1.045063,1.033249
2301000,0.935393,1.195454
2401000,1.548874,1.030068
2501000,1.111333,0.906074
2601000,1.219223,1.447804
2701000,1.374043,1.302392
2801000,1.734898,1.318979
2901000,1.080929,1.128941
3001000,1.304952,1.258263
3101000,1.017442,1.010833
3201000,1.290110,1.170737
3301000,1.316924,1.042860
3401000,1.418169,1.212233
3501000,1.538255,1.287164
3601000,1.268677,1.459031
3701000,1.401894,1.390480
3801000,1.425571,1.417154
3901000,1.659142,1.307537
4001000,1.685081,1.344943
4101000,1.305627,1.188571
4201000,1.384767,1.294613
4301000,1.448628,1.337252
4401000,1.468510,1.604637
4501000,1.641293,1.589458
4601000,1.671218,1.602195
4701000,1.619908,1.699248
4801000,1.650899,1.657043
4901000,1.700224,1.624811
